discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
,,3D Digital Hexagon Print Front Pocket Casual Hoodie,29.99,8332564,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Geometric;Season:Fall,Spring;Weight:0.5400kg;Package Contents:1 x Hoodie",https://www.dresslily.com/3d-digital-hexagon-print-front-product8332564.html,
51,47.38,Contrast Animal Print Kangaroo Pocket Hoodie,22.99,8355683,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.4900kg;Package Contents:1 x Hoodie",https://www.dresslily.com/contrast-animal-print-kangaroo-pocket-product8355683.html,
,,Digital Teardrop Print Gradient Front Pocket Casual Hoodie,29.99,8332565,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Water Drop;Season:Fall,Spring;Weight:0.5200kg;Package Contents:1 x Hoodie",https://www.dresslily.com/digital-teardrop-print-gradient-front-product8332565.html,
,,Halloween Pumpkins Print Drawstring Hoodie,34.99,3286551,"Clothes Type:Hoodie;Occasion:Halloween;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Pumpkin;Season:Fall;Weight:0.5600kg;Package Contents:1 x Hoodie",https://www.dresslily.com/halloween-pumpkins-print-drawstring-hoodie-product3286551.html,1
55,60.05,Pintuck Detail Kangaroo Pocket Fleece Hoodie,26.99,8373123,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Others;Season:Fall,Winter;Weight:0.7600kg;Package Contents:1 x Hoodie",https://www.dresslily.com/pintuck-detail-kangaroo-pocket-fleece-product8373123.html,
,,Snowflake Print Christmas Hoodie,33.99,8197406,"Clothes Type:Hoodie;Occasion:Christmas Day;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Print;Season:Fall,Spring,Winter;Weight:0.5600kg;Package Contents:1 x Hoodie",https://www.dresslily.com/christmas-snowflake-print-long-sleeved-product8197406.html,
,,3D Crown Lion Print Long Sleeve Sweatshirt,26.99,2155255,"Material:Cotton,Polyester;Shirt Length:Regular;Sleeve Length:Full;Style:Fashion;Weight:0.3800kg;Package Contents:1 x Sweatshirt",https://www.dresslily.com/3d-crown-lion-print-long-sleeve-sweatshirt-product2155255.html,1
52,47.98,Indian Skull Graphic Casual Front Pocket Hoodie,22.99,8270120,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Skull;Season:Fall,Spring;Weight:0.5300kg;Package Contents:1 x Hoodie",https://www.dresslily.com/indian-skull-graphic-casual-front-product8270120.html,1
,,Halloween Night Skull Pumpkin Lamp Print Hoodie,29.99,8157864,"Clothes Type:Hoodie;Occasion:Daily,Festival,Going Out,Halloween;Style:Trendy;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:3D Print,Animal,Pumpkin,Skull;Season:Fall,Spring;Weight:0.5300kg;Package Contents:1 x Hoodie",https://www.dresslily.com/halloween-night-skull-pumpkin-lamp-product8157864.html,
,,Halloween Blood Cut Heart Print Front Pocket Hoodie,29.99,8157862,"Clothes Type:Hoodie;Occasion:Halloween;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Heart;Season:Fall,Spring;Weight:0.4950kg;Package Contents:1 x Hoodie",https://www.dresslily.com/halloween-blood-cut-heart-print-product8157862.html,
